,City,Year,Brand,Car Name,Car model,Car Price,Car km,Owner,Car Type
1964,Ahmedabad,2019,Maruti,Dzire  ,Manual,668099,15248,1,Petrol
1965,Ahmedabad,2017,Maruti,Baleno  ,Manual,587099,56796,2,Diesel
1966,Ahmedabad,2017,Maruti,Wagon R 1.0,Manual,410699,72477,1,Petrol
1967,Ahmedabad,2017,Hyundai,Grand i10 ,Manual,475999,25708,1,Petrol
1968,Ahmedabad,2016,Maruti,Baleno  ,Manual,547599,65499,2,Petrol
1969,Ahmedabad,2015,Honda,City  ,Automatic,669699,61219,3,Petrol
1970,Ahmedabad,2020,MG,HECTOR  ,Automatic,1676199,8717,1,Petrol
1971,Ahmedabad,2021,Hyundai,VENUE  ,Manual,836199,29669,1,Petrol
1972,Ahmedabad,2017,Maruti,Baleno  ,Manual,627299,9193,1,Petrol
1973,Ahmedabad,2016,Hyundai,Grand i10 ,Manual,479199,43952,1,Petrol
1974,Ahmedabad,2019,Hyundai,Grand i10 ,Manual,512299,34725,1,Petrol
1975,Ahmedabad,2019,Hyundai,Verna  ,Automatic,1088199,40336,2,Diesel
1976,Ahmedabad,2019,Maruti,Dzire  ,Manual,683499,18618,1,Petrol
1977,Ahmedabad,2018,Hyundai,Eon  ,Manual,361999,16809,1,Petrol
1978,Ahmedabad,2017,Maruti,Baleno  ,Manual,572299,48585,2,Petrol
1979,Ahmedabad,2019,KIA,SELTOS  ,Automatic,1352399,58603,1,Petrol
1980,Ahmedabad,2020,Maruti,Dzire  ,Manual,680999,32623,1,Petrol
1981,Ahmedabad,2019,Maruti,Dzire  ,Manual,709799,20761,1,Petrol
1982,Ahmedabad,2021,Maruti,Baleno  ,Manual,689699,22651,1,Petrol
1983,Ahmedabad,2018,Maruti,Alto 800 ,Manual,298899,64171,1,Petrol
1984,Ahmedabad,2016,Maruti,Baleno  ,Manual,551999,46019,2,Petrol
1985,Ahmedabad,2017,Maruti,Wagon R 1.0,Manual,466299,16248,2,Petrol
1986,Ahmedabad,2019,Maruti,S PRESSO ,Manual,419599,5848,1,Petrol
1987,Ahmedabad,2019,Maruti,Baleno  ,Manual,612799,66749,1,Petrol
