City,Year,Brand,Car Name,Car model,Car Price,Car km,Owner,Car Type
Pune,2018,Maruti,Maruti Vitara Brezza ,Automatic,892199,38629,1,Diesel
Pune,2020,Maruti,Maruti Swift  ,Automatic,854749,8989,1,Petrol
Pune,2020,Hyundai,Hyundai Creta  ,Manual,1460099,17898,1,Diesel
Pune,2016,Maruti,Maruti Celerio  ,Automatic,457099,71088,1,Petrol
Pune,2015,Hyundai,Hyundai Grand i10 ,Manual,417399,63203,3,Petrol
Pune,2018,Renault,Renault Kwid  ,Automatic,442199,48617,1,Petrol
Pune,2014,Renault,Renault Duster  ,Manual,637799,96336,1,Petrol
Pune,2017,Maruti,Maruti Dzire  ,Manual,626999,42515,1,Petrol
Pune,2015,Hyundai,Hyundai i10  ,Manual,349299,48928,1,Petrol
Pune,2015,Honda,Honda Brio  ,Manual,370454,68981,2,Petrol
Pune,2018,Tata,Tata Tiago  ,Manual,509299,47274,1,Petrol
Pune,2015,Maruti,Maruti Alto K10 ,Manual,341199,18182,1,Petrol
Pune,2019,Tata,Tata NEXON  ,Automatic,951599,4391,2,Petrol
Pune,2015,Hyundai,Hyundai Elite i20 ,Manual,591199,18596,1,Petrol
